SAMPLE NAME,Nnet,Cnet ,ROIAREA,ROIDIAM
F1-2,7.14232E-05,0.024204852,1.304626,1.288837
F1-2,0.00050717,0.022647174,0.617981,0.8870388
F1-2,-0.00034379,0.033029552,0.5355835,0.8257881
F1-2,0.000876159,0.02618957,0.5905151,0.8671027
F1-2,6.15187E-05,0.039141091,0.7003784,0.9443249
F1-2,9.97093E-05,0.029850353,1.0849,1.175303
F1-2,0.000161473,0.023327242,0.5355835,0.8257881
F1-2,0.000507859,0.027197988,0.4943848,0.7933916
F1-2,0.000669329,0.022473587,0.3707886,0.6870973
F1-2,0.000256703,0.022398852,0.6591797,0.9161297
F1-2,0.000383058,0.032798304,0.7553101,0.9806582
F1-2,0.000729909,0.027397846,0.2334595,0.5452062
F1-2,0.000847526,0.031959732,0.3845215,0.6997056
F1-2,0.001432501,0.028070582,0.6591797,0.9161297
F1-2,0.000301123,0.024593776,0.5905151,0.8671027
F1-2,0.000968334,0.031384918,0.3570557,0.6742532
F1-2,0.000320719,0.028616175,0.3845215,0.6997056
F1-2,0.000306196,0.027020342,0.5630493,0.8466975
F1-2,0.000549568,0.029263283,0.5218506,0.8151324
F1-2,0.000555929,0.039729696,0.3982544,0.7120907
F1-2,0.00054296,0.022658497,0.302124,0.6202227
F1-2,0.000707886,0.033134277,0.4669189,0.7710381
F1-2,0.000257756,0.02075655,0.2609253,0.5763856
F1-2,8.61811E-05,0.033344362,0.4669189,0.7710381
F1-2,0.000456283,0.025268654,0.5493164,0.8363082
F1-2,0.000818454,0.027285578,0.4806519,0.7822946
F1-2,0.000318873,0.023062104,0.4394531,0.7480168
F1-2,0.000661461,0.021157793,0.4806519,0.7822946
F1-2,-0.000105489,0.026183144,0.3845215,0.6997056
F1-2,0.002213718,0.019034503,0.2471924,0.5610126
F1-2,0.000230035,0.028888528,0.5218506,0.8151324
F1-2,0.000213922,0.021999244,0.5630493,0.8466975
F1-2,0.000444097,0.030777462,0.3982544,0.7120907
F1-3,0.000261273,0.174007325,1.469421,1.367818
F1-3,0.000155165,0.319172774,2.568054,1.808244
F1-3,4.53373E-05,0.330816932,2.210999,1.677835
F1-3,0.000121838,0.247044677,2.883911,1.916223
F1-3,1.52832E-05,0.298868333,1.469421,1.367818
F1-3,-2.9601E-05,0.442434138,1.895142,1.553373
F1-3,6.05795E-05,0.371622457,2.403259,1.749264
F1-3,-1.48426E-05,0.382697783,0.7965088,1.007048
F1-3,6.45538E-05,0.295493443,2.032471,1.608671
F1-3,0.000356507,0.288673612,2.554321,1.803403
F1-3,0.000139937,0.249259109,2.636719,1.832259
F1-3,0.000289084,0.207328158,2.293396,1.708813
F1-3,0.000283138,0.358957601,1.455688,1.361411
F1-3,0.000259752,0.259084341,0.7965088,1.007048
F1-3,-6.21344E-05,0.385015394,0.9613037,1.106332
F1-3,4.15901E-06,0.242454188,0.4806519,0.7822946
F1-3,0.000181031,0.44138885,0.6591797,0.9161297
