sample_name,value,version
F1-3,0.000249259,1
F1-3,7.25E-05,1
F1-3,-0.000137171,1
F1-3,0.000117622,1
F1-3,0.000329401,1
F1-3,1.74E-06,1
F1-3,5.71E-05,1
F1-3,0.000321063,1
F1-3,8.19E-05,1
F1-3,0.00018279,1
F1-3,0.000344447,1
F1-3,0.000276255,1
F1-3,-0.00014172,1
F1-3,0.000212693,1
F1-3,-5.29E-05,1
F1-3,0.000344098,1
F1-3,0.000163196,1
F1-3,-6.36E-06,1
F1-3,0.000216137,1
F1-3,-0.000117947,1
F1-3,3.93E-06,1
F1-3,0.000217937,1
F1-3,0.000252138,1
F1-3,0.000183887,1
F1-3,0.000195805,1
F1-3,5.09E-05,1
F1-3,8.60E-05,1
F1-3,0.0002562,1
F1-3,5.63E-05,1
F1-3,7.33E-05,1
F1-3,0.000207695,1
F1-3,0.000113639,1
F1-3,0.000250796,1
F1-3,0.000268284,1
F1-3,0.000268474,1
F1-3,0.00010081,1
F1-3,7.71E-05,1
F1-3,0.000119607,1
F1-3,0.000178884,1
F1-3,0.000277595,1
F1-3,0.000393059,1
F1-3,9.94E-05,1
F1-3,0.000183777,1
F1-3,3.63E-05,1
F1-3,0.00029695,1
F1-3,7.61E-05,1
F1-3,0.000284998,1
F1-3,5.56E-05,1
F1-3,1.87E-05,1
F1-3,0.000243268,1
F1-3,0.000174996,1
F1-3,0.000357991,1
F1-3,0.000126596,1
F1-3,0.000270139,1
F1-3,8.35E-05,1
F1-3,0.000225371,1
F1-3,0.000215221,1
F1-3,0.00010299,1
F1-3,0.000347524,1
F1-3,0.000184393,1
F1-3,0.000124899,1
F1-3,6.78E-05,1
F1-3,0.000122044,1
F1-3,0.000203151,1
F1-3,0.000141932,1
F1-3,0.000175187,1
F1-3,8.68E-05,1
F1-3,3.72E-05,1
F1-3,0.00011838,1
F1-3,0.000116554,1
F1-3,0.000115229,1
F1-3,0.00012512,1
F1-3,0.000116379,1
F1-3,0.000187139,1
F1-3,0.000247761,1
F1-3,0.000111958,1
F1-3,0.00010352,1
F1-3,0.000213449,1
F1-3,0.000144311,1
F1-3,0.000129767,1
F1-3,0.000179137,1
F1-3,0.000227702,1
F1-3,0.000479972,1
F1-3,0.000126644,1
F1-3,6.40E-05,1
F1-3,0.000159143,1
F1-3,0.000207643,1
F1-3,0.000236182,1
F1-3,0.00034793,1
F1-3,0.000221465,1
F1-3,0.000234555,1
F1-3,0.000105008,1
