sample_name,Cnet ,ROIAREA
F1-2,0.018574342,0.7278442
F1-2,0.025029002,0.9063721
F1-2,0.025444847,0.8102417
F1-2,0.028870334,0.3433228
F1-2,0.031893604,0.6317139
F1-2,0.008328445,0.3845215
F1-2,0.01770078,0.9475708
F1-2,0.022373886,0.4943848
F1-2,0.022231819,1.153564
F1-2,0.032801165,0.5905151
F1-2,0.027268105,0.604248
F1-2,0.026947785,0.5905151
F1-2,0.03131623,0.604248
F1-2,0.027881243,1.126099
F1-2,0.047791037,1.249695
F1-2,0.045111338,1.153564
F1-2,0.021423553,0.8926392
F1-2,0.036887823,1.235962
F1-2,0.004791102,2.210999
F1-2,0.040844931,1.675415
F1-2,0.03772137,0.9475708
F1-2,0.037276948,0.302124
F1-2,0.047707762,0.9338379
F1-2,0.041147657,1.194763
F1-2,0.042202672,0.9475708
F1-2,0.041993692,0.920105
F1-2,0.034166641,0.9750366
F1-2,0.037830725,1.565552
F1-2,0.011437566,1.387024
F1-2,0.04052693,1.222229
F1-2,0.035920864,0.8102417
F1-2,0.038375452,0.617981
F1-2,0.0431644,1.318359
F1-2,0.034529436,0.3707886
F1-2,0.025407229,0.4257202
F1-2,0.037836714,0.8651733
F1-2,0.021072419,0.8514404
F1-2,0.034185968,0.3982544
F1-2,0.036334447,1.208496
F1-2,0.032373753,0.604248
F1-2,0.029122136,0.3570557
F1-2,0.027273665,0.5493164
F1-2,0.024204852,1.304626
F1-2,0.022647174,0.617981
F1-2,0.033029552,0.5355835
F1-2,0.02618957,0.5905151
F1-2,0.039141091,0.7003784
F1-2,0.029850353,1.0849
F1-2,0.023327242,0.5355835
F1-2,0.027197988,0.4943848
F1-2,0.022473587,0.3707886
F1-2,0.022398852,0.6591797
F1-2,0.032798304,0.7553101
F1-2,0.027397846,0.2334595
F1-2,0.031959732,0.3845215
F1-2,0.028070582,0.6591797
F1-2,0.024593776,0.5905151
F1-2,0.031384918,0.3570557
F1-2,0.028616175,0.3845215
F1-2,0.027020342,0.5630493
F1-2,0.029263283,0.5218506
F1-2,0.039729696,0.3982544
F1-2,0.022658497,0.302124
F1-2,0.033134277,0.4669189
F1-2,0.02075655,0.2609253
F1-2,0.033344362,0.4669189
F1-2,0.025268654,0.5493164
F1-2,0.027285578,0.4806519
F1-2,0.023062104,0.4394531
F1-2,0.021157793,0.4806519
F1-2,0.026183144,0.3845215
F1-2,0.019034503,0.2471924
F1-2,0.028888528,0.5218506
F1-2,0.021999244,0.5630493
F1-2,0.030777462,0.3982544
F1-3,0.174007325,1.469421
F1-3,0.319172774,2.568054
F1-3,0.330816932,2.210999
F1-3,0.247044677,2.883911
F1-3,0.298868333,1.469421
F1-3,0.442434138,1.895142
F1-3,0.371622457,2.403259
F1-3,0.382697783,0.7965088
F1-3,0.295493443,2.032471
F1-3,0.288673612,2.554321
F1-3,0.249259109,2.636719
F1-3,0.207328158,2.293396
F1-3,0.358957601,1.455688
F1-3,0.259084341,0.7965088
F1-3,0.385015394,0.9613037
F1-3,0.242454188,0.4806519
F1-3,0.44138885,0.6591797
F1-3,0.315196373,2.362061
F1-3,0.296528922,3.419495
F1-3,0.278348862,2.980042
F1-3,0.318802449,1.826477
F1-3,0.189434889,1.565552
F1-3,0.280480304,1.359558
F1-3,0.285882794,1.991272
F1-3,0.28304161,0.2471924
F1-3,0.308309551,1.373291
F1-3,0.285515689,1.593018
F1-3,0.238450173,3.501892
F1-3,0.267023115,1.387024
F1-3,0.17422708,1.249695
F1-3,0.219746847,1.524353
F1-3,0.264075101,2.059937
F1-3,0.303038368,1.167297
F1-3,0.316358985,3.927612
F1-3,0.335680444,0.8651733
F1-3,0.312042667,0.9338379
F1-3,0.36497121,0.8102417
F1-3,0.395717597,1.84021
F1-3,0.20836826,1.963806
F1-3,0.233220441,2.348328
F1-3,0.182334585,1.373291
F1-3,0.289049409,1.029968
F1-3,0.350461053,1.977539
F1-3,0.273141993,0.9475708
F1-3,0.348598971,5.081177
F1-3,0.436854647,1.016235
F1-3,0.289944484,2.430725
F1-3,0.335645741,2.801514
F1-3,0.164315857,3.186035
F1-3,0.323599468,1.895142
F1-3,0.304258218,2.581787
F1-3,0.332775096,2.471924
F1-3,0.224943321,1.565552
F1-3,0.307112524,1.551819
F1-3,0.323181165,2.1698
